(276, 321)
(267, 322)
(265, 326)
(264, 327)
(264, 329)
(263, 331)
(260, 333)
(258, 333)
(256, 335)
(257, 334)
(259, 336)
(259, 336)
(264, 334)
(269, 338)
(277, 336)
(284, 337)
(294, 335)
(306, 334)
(330, 336)
(345, 333)
(360, 332)
(375, 332)
(396, 337)
(404, 330)
(404, 330)
(417, 329)
(429, 328)
(444, 334)
(446, 328)
(450, 327)
(457, 326)
(459, 326)
(459, 323)
(465, 324)
(462, 321)
(455, 314)
(452, 309)
(452, 309)
(454, 306)
(445, 295)
(447, 286)
(435, 272)
(429, 242)
(422, 228)
(415, 213)
(410, 198)
(403, 181)
(396, 165)
(385, 159)
(377, 149)
(377, 149)
(372, 140)
(368, 133)
(363, 131)
(358, 132)
(354, 140)
(353, 140)
(348, 145)
(344, 150)
(340, 159)
(333, 168)
(326, 182)
(326, 182)
(321, 192)
(314, 198)
(311, 210)
(301, 229)
(295, 239)
(291, 251)
(286, 263)
(282, 277)
(278, 287)
(273, 299)
(271, 310)
(269, 319)
(269, 319)
(266, 328)
(263, 335)
(258, 342)
(255, 343)
(254, 341)
(254, 339)
(253, 338)
(252, 335)
(253, 331)
(258, 322)
(262, 314)
(270, 304)
(270, 304)
(277, 290)
(291, 262)
(300, 242)
(305, 225)
(313, 208)
(322, 197)
(328, 184)
(335, 176)
(338, 164)
(343, 154)
(347, 142)
(351, 134)
(351, 134)
(356, 126)
(360, 127)
(362, 122)
(364, 126)
(364, 122)
(365, 123)
(366, 124)
(366, 125)
(365, 128)
(364, 134)
(360, 136)
(359, 141)
(357, 142)
(356, 155)
(356, 161)
(355, 167)
(353, 176)
(352, 180)
(351, 187)
(349, 189)
(348, 189)
(346, 188)
(346, 194)
(347, 197)
