(380, 197)
(385, 206)
(405, 209)
(412, 203)
(416, 201)
(419, 199)
(424, 195)
(422, 196)
(422, 193)
(418, 194)
(412, 193)
(404, 193)
(393, 195)
(393, 195)
(369, 203)
(358, 209)
(348, 214)
(342, 218)
(329, 226)
(326, 226)
(325, 225)
(323, 225)
(325, 220)
(326, 215)
(325, 209)
(325, 203)
(327, 195)
(326, 188)
(327, 183)
(328, 178)
(330, 177)
(331, 177)
(333, 178)
(336, 176)
(339, 175)
(341, 177)
(346, 175)
(351, 172)
(356, 175)
(361, 175)
(364, 177)
(367, 178)
(371, 181)
(375, 181)
(376, 184)
(378, 184)
(381, 180)
(379, 180)
(379, 174)
(373, 170)
(367, 163)
(358, 158)
(349, 155)
(337, 156)
(323, 150)
(312, 157)
(299, 160)
(290, 170)
(281, 179)
(274, 194)
(268, 210)
(264, 221)
(261, 231)
(261, 243)
(264, 258)
(270, 270)
(280, 277)
(293, 282)
(306, 284)
(326, 280)
(343, 274)
(358, 266)
(369, 258)
(392, 232)
(402, 217)
(405, 202)
(402, 190)
(398, 177)
(389, 166)
(377, 160)
(364, 154)
